"PAIS","DEPARTAMENTO","CODIGO DANE","MUNICIPIO","DESAGREGACIÓN CULTIVO","CULTIVO","CICLO DE CULTIVO","GRUPO CULTIVO","SUBGRUPO","AÑO","PERIODO","Área Sembrada(ha)","ÁREA COSECHADA(ha)","PRODUCCION(t)","RENDIMIENTO(t/ha)","CÓDIGO  CULTIVO","NOMBRE CIENTÍFICO CULTIVO","ESTADO FISICO DEL CULTIVO"
"Colombia","Caldas","17001","Manizales","Sábila","Sábila","Permanente","Cultivos para Condimentos y Bebidas Medicinales y Aromáticas","Medicinales","2019","2019","2.00","2","40","20","2022800","Aloe vera","En fresco"
"Colombia","Caldas","17001","Manizales","Aguacate demás variedades","Aguacate demás variedades","Permanente","Frutales","Demas frutales","2019","2019","680.00","648","6,480","10","2040299","Persea americana","En fresco"
"Colombia","Caldas","17001","Manizales","Banano consumo interno","Banano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","215.00","154","4,127.2","26.8","2040902","Musa cavendishii","En fresco"
"Colombia","Caldas","17001","Manizales","Granadilla","Granadilla","Permanente","Frutales","Pasifloráceas","2019","2019","0.00","0","0","0","2042800","Passiflora ligularis.","En fresco"
"Colombia","Caldas","17001","Manizales","Guayaba","Guayaba","Permanente","Frutales","Mirtáceas","2019","2019","136.00","136","1,468.8","10.8","2043000","Psidium guajava L.","En fresco"
"Colombia","Caldas","17001","Manizales","Gulupa o cholupa","Gulupa o cholupa","Permanente","Frutales","Pasifloráceas","2019","2019","5.00","4.9","98","20","2043100","Passiflora edulis Sims fo. Edulis","En fresco"
"Colombia","Caldas","17001","Manizales","Lulo","Lulo","Permanente","Frutales","Solanáceas","2019","2019","1.00","1","3","3","2043700","Solanum quitoense Lam","En fresco"
"Colombia","Caldas","17001","Manizales","Piña demás variedades","Piña demás variedades","Permanente","Frutales","Demas frutales","2019","2019","0.00","0","0","0","2045699","Ananas comosus L. Merr.","En fresco"
"Colombia","Caldas","17001","Manizales","Plátano consumo interno","Plátano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","1,491.00","1,491","21,843.15","14.65","2045802","Musa paradisiaca L.","En fresco"
"Colombia","Caldas","17001","Manizales","Otros cítricos","Otros cítricos","Permanente","Frutales","Cítricos","2019","2019","916.00","880","9,504","10.8","2049800","No aplica","En fresco"
"Colombia","Caldas","17001","Manizales","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019A","8.00","7","6.85","0.98","1010497","Zea mays","En fresco"
"Colombia","Caldas","17001","Manizales","Maíz Tecnificado","Maíz Tecnificado","Transitorio","Cereales","Cereales","2019","2019A","10.00","9.5","76","8","1010498","Zea mays","En fresco"
"Colombia","Caldas","17001","Manizales","Cebolla De Rama","Cebolla De Rama","Transitorio","Hortalizas","Hortalizas de Tallo","2019","2019A","33.00","32.5","747.5","23","1051200","Allium fistulosum","En fresco"
"Colombia","Caldas","17001","Manizales","Cilantro","Cilantro","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019A","1.30","1","8","8","1051300","Coriandrum sativum","En fresco"
"Colombia","Caldas","17001","Manizales","Lechuga","Lechuga","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019A","1.00","0.8","10.4","13","1051900","Lactuca sativa","En fresco"
"Colombia","Caldas","17001","Manizales","Pimentón","Pimentón","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019A","10.00","9","135","15","1052500","Capsicum annuum L","En fresco"
"Colombia","Caldas","17001","Manizales","Repollo","Repollo","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019A","1.00","0.9","13.5","15","1052800","Brassica oleracea var. capitata","En fresco"
"Colombia","Caldas","17001","Manizales","Tomate","Tomate","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019A","20.00","19.8","514.8","26","1052901","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17001","Manizales","Zanahoria","Zanahoria","Transitorio","Hortalizas","Hortalizas de raíz","2019","2019A","1.00","0.9","25.65","28.5","1053000","Daucus carota","En fresco"
"Colombia","Caldas","17001","Manizales","Papa todas las variedades","Papa todas las variedades","Transitorio","Raíces y Tubérculos","Raíces y Tubérculos","2019","2019A","210.00","209","2,717","13","1080701","Solanum tuberosum","En fresco"
"Colombia","Caldas","17001","Manizales","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019B","8.00","7.5","7.34","0.98","1010497","Zea mays","En fresco"
"Colombia","Caldas","17001","Manizales","Maíz Tecnificado","Maíz Tecnificado","Transitorio","Cereales","Cereales","2019","2019B","10.00","9.5","76","8","1010498","Zea mays","En fresco"
"Colombia","Caldas","17001","Manizales","Cebolla De Rama","Cebolla De Rama","Transitorio","Hortalizas","Hortalizas de Tallo","2019","2019B","25.00","20","460","23","1051200","Allium fistulosum","En fresco"
"Colombia","Caldas","17001","Manizales","Cilantro","Cilantro","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019B","1.30","1","8","8","1051300","Coriandrum sativum","En fresco"
"Colombia","Caldas","17001","Manizales","Lechuga","Lechuga","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019B","1.00","0.8","10.4","13","1051900","Lactuca sativa","En fresco"
"Colombia","Caldas","17001","Manizales","Pimentón","Pimentón","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019B","11.00","10.8","162","15","1052500","Capsicum annuum L","En fresco"
"Colombia","Caldas","17001","Manizales","Repollo","Repollo","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019B","1.00","0.9","13.5","15","1052800","Brassica oleracea var. capitata","En fresco"
"Colombia","Caldas","17001","Manizales","Tomate","Tomate","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019B","23.00","22.5","585","26","1052901","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17001","Manizales","Zanahoria","Zanahoria","Transitorio","Hortalizas","Hortalizas de raíz","2019","2019B","1.00","0.8","22.8","28.5","1053000","Daucus carota","En fresco"
"Colombia","Caldas","17001","Manizales","Papa todas las variedades","Papa todas las variedades","Transitorio","Raíces y Tubérculos","Raíces y Tubérculos","2019","2019B","210.00","209","2,717","13","1080701","Solanum tuberosum","En fresco"
"Colombia","Caldas","17013","Aguadas","Iraca","Iraca","Permanente","Cultivos Tropicales Tradicionales","Cultivos Tropicales Tradicionales","2019","2019","10.00","10","14","1.4","2030600","Carludovica palmata","En fresco"
"Colombia","Caldas","17013","Aguadas","Aguacate demás variedades","Aguacate demás variedades","Permanente","Frutales","Demas frutales","2019","2019","1,010.00","410","2,952","7.2","2040299","Persea americana","En fresco"
"Colombia","Caldas","17013","Aguadas","Banano consumo interno","Banano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","280.00","240","1,920","8","2040902","Musa cavendishii","En fresco"
"Colombia","Caldas","17013","Aguadas","Fresa","Fresa","Permanente","Frutales","Demas frutales","2019","2019","15.00","11","440","40","2042700","Fragaria vesca","En fresco"
"Colombia","Caldas","17013","Aguadas","Granadilla","Granadilla","Permanente","Frutales","Pasifloráceas","2019","2019","12.00","12","108","9","2042800","Passiflora ligularis.","En fresco"
"Colombia","Caldas","17013","Aguadas","Gulupa o cholupa","Gulupa o cholupa","Permanente","Frutales","Pasifloráceas","2019","2019","12.00","10","150","15","2043100","Passiflora edulis Sims fo. Edulis","En fresco"
"Colombia","Caldas","17013","Aguadas","Lulo","Lulo","Permanente","Frutales","Solanáceas","2019","2019","14.00","10","180","18","2043700","Solanum quitoense Lam","En fresco"
"Colombia","Caldas","17013","Aguadas","Mora","Mora","Permanente","Frutales","Demas frutales","2019","2019","640.00","630","8,820","14","2044700","Morus ssp","En fresco"
"Colombia","Caldas","17013","Aguadas","Plátano consumo interno","Plátano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","1,580.00","1,580","11,060","7","2045802","Musa paradisiaca L.","En fresco"
"Colombia","Caldas","17013","Aguadas","Tomate de árbol","Tomate de árbol","Permanente","Frutales","Solanáceas","2019","2019","42.00","38","570","15","2046300","Solanum betaceum","En fresco"
"Colombia","Caldas","17013","Aguadas","Otros cítricos","Otros cítricos","Permanente","Frutales","Cítricos","2019","2019","1,583.00","1,153","17,526","15.2","2049800","No aplica","En fresco"
"Colombia","Caldas","17013","Aguadas","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019A","20.00","20","28","1.4","1010497","Zea mays","En fresco"
"Colombia","Caldas","17013","Aguadas","Cilantro","Cilantro","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019A","15.00","15","112.5","7.5","1051300","Coriandrum sativum","En fresco"
"Colombia","Caldas","17013","Aguadas","Repollo","Repollo","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019A","7.50","7.5","262.5","35","1052800","Brassica oleracea var. capitata","En fresco"
"Colombia","Caldas","17013","Aguadas","Tomate","Tomate","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019A","25.00","25","425","17","1052901","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17013","Aguadas","Papa todas las variedades","Papa todas las variedades","Transitorio","Raíces y Tubérculos","Raíces y Tubérculos","2019","2019A","8.00","8","24","3","1080701","Solanum tuberosum","En fresco"
"Colombia","Caldas","17013","Aguadas","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019B","20.00","20","28","1.4","1010497","Zea mays","En fresco"
"Colombia","Caldas","17013","Aguadas","Cilantro","Cilantro","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019B","12.00","12","90","7.5","1051300","Coriandrum sativum","En fresco"
"Colombia","Caldas","17013","Aguadas","Repollo","Repollo","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019B","3.00","3","105","35","1052800","Brassica oleracea var. capitata","En fresco"
"Colombia","Caldas","17013","Aguadas","Tomate","Tomate","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019B","20.00","20","340","17","1052901","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17042","Anserma","Aguacate demás variedades","Aguacate demás variedades","Permanente","Frutales","Demas frutales","2019","2019","613.00","558","5,022","9","2040299","Persea americana","En fresco"
"Colombia","Caldas","17042","Anserma","Guanábana","Guanábana","Permanente","Frutales","Anonáceas","2019","2019","8.00","2","20","10","2042900","Annona muricata L.","En fresco"
"Colombia","Caldas","17042","Anserma","Guayaba","Guayaba","Permanente","Frutales","Mirtáceas","2019","2019","4.00","3","11","3.67","2043000","Psidium guajava L.","En fresco"
"Colombia","Caldas","17042","Anserma","Piña demás variedades","Piña demás variedades","Permanente","Frutales","Demas frutales","2019","2019","14.00","10","68","6.8","2045699","Ananas comosus L. Merr.","En fresco"
"Colombia","Caldas","17042","Anserma","Plátano consumo interno","Plátano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","4,062.00","3,772","40,628","10.77","2045802","Musa paradisiaca L.","En fresco"
"Colombia","Caldas","17042","Anserma","Otros cítricos","Otros cítricos","Permanente","Frutales","Cítricos","2019","2019","1,323.00","423","3,384","8","2049800","No aplica","En fresco"
"Colombia","Caldas","17042","Anserma","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019A","20.00","19","30","1.58","1010497","Zea mays","En fresco"
"Colombia","Caldas","17042","Anserma","Maíz Tecnificado","Maíz Tecnificado","Transitorio","Cereales","Cereales","2019","2019A","19.00","12","55","4.58","1010498","Zea mays","En fresco"
"Colombia","Caldas","17042","Anserma","Cebolla De Rama","Cebolla De Rama","Transitorio","Hortalizas","Hortalizas de Tallo","2019","2019A","1.00","1","6","6","1051200","Allium fistulosum","En fresco"
"Colombia","Caldas","17042","Anserma","Cilantro","Cilantro","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019A","1.00","1","4","4","1051300","Coriandrum sativum","En fresco"
"Colombia","Caldas","17042","Anserma","Esparrago","Esparrago","Transitorio","Hortalizas","Hortalizas de Tallo","2019","2019A","48.00","30","140","4.67","1051600","Asparagus officinalis","En fresco"
"Colombia","Caldas","17042","Anserma","Tomate","Tomate","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019A","9.00","8","170","21.25","1052901","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17042","Anserma","Tomate Invernadero","Tomate Invernadero","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019A","15.00","8","288","36","1052902","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17042","Anserma","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019B","15.00","14","27","1.93","1010497","Zea mays","En fresco"
"Colombia","Caldas","17042","Anserma","Maíz Tecnificado","Maíz Tecnificado","Transitorio","Cereales","Cereales","2019","2019B","16.00","14","65","4.64","1010498","Zea mays","En fresco"
"Colombia","Caldas","17042","Anserma","Cebolla De Rama","Cebolla De Rama","Transitorio","Hortalizas","Hortalizas de Tallo","2019","2019B","1.00","1","7","7","1051200","Allium fistulosum","En fresco"
"Colombia","Caldas","17042","Anserma","Cilantro","Cilantro","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019B","1.00","1","4","4","1051300","Coriandrum sativum","En fresco"
"Colombia","Caldas","17042","Anserma","Esparrago","Esparrago","Transitorio","Hortalizas","Hortalizas de Tallo","2019","2019B","49.00","45","140","3.11","1051600","Asparagus officinalis","En fresco"
"Colombia","Caldas","17042","Anserma","Tomate","Tomate","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019B","12.00","10","190","19","1052901","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17042","Anserma","Tomate Invernadero","Tomate Invernadero","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019B","13.00","10","300","30","1052902","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17050","Aranzazu","Aguacate demás variedades","Aguacate demás variedades","Permanente","Frutales","Demas frutales","2019","2019","986.00","350","3,500","10","2040299","Persea americana","En fresco"
"Colombia","Caldas","17050","Aranzazu","Gulupa o cholupa","Gulupa o cholupa","Permanente","Frutales","Pasifloráceas","2019","2019","15.00","10","300","30","2043100","Passiflora edulis Sims fo. Edulis","En fresco"
"Colombia","Caldas","17050","Aranzazu","Mora","Mora","Permanente","Frutales","Demas frutales","2019","2019","50.00","50","500","10","2044700","Morus ssp","En fresco"
"Colombia","Caldas","17050","Aranzazu","Plátano consumo interno","Plátano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","320.00","290","2,030","7","2045802","Musa paradisiaca L.","En fresco"
"Colombia","Caldas","17050","Aranzazu","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019A","40.00","40","32","0.8","1010497","Zea mays","En fresco"
"Colombia","Caldas","17050","Aranzazu","Cebolla De Rama","Cebolla De Rama","Transitorio","Hortalizas","Hortalizas de Tallo","2019","2019A","15.00","15","600","40","1051200","Allium fistulosum","En fresco"
"Colombia","Caldas","17050","Aranzazu","Repollo","Repollo","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019A","10.00","10","100","10","1052800","Brassica oleracea var. capitata","En fresco"
"Colombia","Caldas","17050","Aranzazu","Tomate","Tomate","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019A","10.00","10","300","30","1052901","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17050","Aranzazu","Tomate Invernadero","Tomate Invernadero","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019A","0.00","0","0","0","1052902","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17050","Aranzazu","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019B","40.00","40","32","0.8","1010497","Zea mays","En fresco"
"Colombia","Caldas","17050","Aranzazu","Cebolla De Rama","Cebolla De Rama","Transitorio","Hortalizas","Hortalizas de Tallo","2019","2019B","15.00","10","400","40","1051200","Allium fistulosum","En fresco"
"Colombia","Caldas","17050","Aranzazu","Repollo","Repollo","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019B","15.00","15","225","15","1052800","Brassica oleracea var. capitata","En fresco"
"Colombia","Caldas","17050","Aranzazu","Tomate","Tomate","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019B","10.00","6","180","30","1052901","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17050","Aranzazu","Tomate Invernadero","Tomate Invernadero","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019B","0.00","0","0","0","1052902","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17088","Belalcázar","Aguacate demás variedades","Aguacate demás variedades","Permanente","Frutales","Demas frutales","2019","2019","333.00","280","5,600","20","2040299","Persea americana","En fresco"
"Colombia","Caldas","17088","Belalcázar","Banano consumo interno","Banano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","53.00","49","980","20","2040902","Musa cavendishii","En fresco"
"Colombia","Caldas","17088","Belalcázar","Guanábana","Guanábana","Permanente","Frutales","Anonáceas","2019","2019","11.00","5","108","21.6","2042900","Annona muricata L.","En fresco"
"Colombia","Caldas","17088","Belalcázar","Guayaba","Guayaba","Permanente","Frutales","Mirtáceas","2019","2019","3.00","1","10","10","2043000","Psidium guajava L.","En fresco"
"Colombia","Caldas","17088","Belalcázar","Lulo","Lulo","Permanente","Frutales","Solanáceas","2019","2019","8.00","8","96","12","2043700","Solanum quitoense Lam","En fresco"
"Colombia","Caldas","17088","Belalcázar","Maracuyá","Maracuyá","Permanente","Frutales","Pasifloráceas","2019","2019","12.00","4","56","14","2044500","Passiflora edulis","En fresco"
"Colombia","Caldas","17088","Belalcázar","Papaya  demás variedades","Papaya  demás variedades","Permanente","Frutales","Demas frutales","2019","2019","7.00","7","280","40","2045399","Carica papaya","En fresco"
"Colombia","Caldas","17088","Belalcázar","Plátano consumo interno","Plátano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","3,005.00","3,000","36,000","12","2045802","Musa paradisiaca L.","En fresco"
"Colombia","Caldas","17088","Belalcázar","Otros cítricos","Otros cítricos","Permanente","Frutales","Cítricos","2019","2019","202.00","190","6,650","35","2049800","No aplica","En fresco"
"Colombia","Caldas","17088","Belalcázar","Maíz Tecnificado","Maíz Tecnificado","Transitorio","Cereales","Cereales","2019","2019A","35.00","35","105","3","1010498","Zea mays","En fresco"
"Colombia","Caldas","17088","Belalcázar","Tomate Invernadero","Tomate Invernadero","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019A","0.00","0","0","0","1052902","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17088","Belalcázar","Maíz Tecnificado","Maíz Tecnificado","Transitorio","Cereales","Cereales","2019","2019B","40.00","40","120","3","1010498","Zea mays","En fresco"
"Colombia","Caldas","17088","Belalcázar","Tomate Invernadero","Tomate Invernadero","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019B","0.00","0","0","0","1052902","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17174","Chinchiná","Aguacate demás variedades","Aguacate demás variedades","Permanente","Frutales","Demas frutales","2019","2019","500.00","500","5,000","10","2040299","Persea americana","En fresco"
"Colombia","Caldas","17174","Chinchiná","Guayaba","Guayaba","Permanente","Frutales","Mirtáceas","2019","2019","87.00","87","870","10","2043000","Psidium guajava L.","En fresco"
"Colombia","Caldas","17174","Chinchiná","Plátano consumo interno","Plátano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","620.00","550","7,700","14","2045802","Musa paradisiaca L.","En fresco"
"Colombia","Caldas","17174","Chinchiná","Otros cítricos","Otros cítricos","Permanente","Frutales","Cítricos","2019","2019","1,015.00","1,015","20,300","20","2049800","No aplica","En fresco"
"Colombia","Caldas","17174","Chinchiná","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019A","5.00","5","7.5","1.5","1010497","Zea mays","En fresco"
"Colombia","Caldas","17174","Chinchiná","Otras hortalizas","Otras hortalizas","Transitorio","Hortalizas","Hortalizas","2019","2019A","3.00","3","6","2","1059900","No aplica","En fresco"
"Colombia","Caldas","17174","Chinchiná","Habichuela","Habichuela","Transitorio","Leguminosas","Leguminosas","2019","2019A","3.00","3","13.5","4.5","1060600","Phaseolus vulgaris","En fresco"
"Colombia","Caldas","17174","Chinchiná","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019B","5.00","5","7.5","1.5","1010497","Zea mays","En fresco"
"Colombia","Caldas","17174","Chinchiná","Otras hortalizas","Otras hortalizas","Transitorio","Hortalizas","Hortalizas","2019","2019B","3.00","3","6","2","1059900","No aplica","En fresco"
"Colombia","Caldas","17174","Chinchiná","Habichuela","Habichuela","Transitorio","Leguminosas","Leguminosas","2019","2019B","3.00","3","13.5","4.5","1060600","Phaseolus vulgaris","En fresco"
"Colombia","Caldas","17272","Filadelfia","Plátano consumo interno","Plátano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","595.00","570","5,900","10.35","2045802","Musa paradisiaca L.","En fresco"
"Colombia","Caldas","17272","Filadelfia","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019A","55.00","53","128.26","2.42","1010497","Zea mays","En fresco"
"Colombia","Caldas","17380","La Dorada","Aguacate demás variedades","Aguacate demás variedades","Permanente","Frutales","Demas frutales","2019","2019","7.00","7","56","8","2040299","Persea americana","En fresco"
"Colombia","Caldas","17380","La Dorada","Guanábana","Guanábana","Permanente","Frutales","Anonáceas","2019","2019","4.00","3","12","4","2042900","Annona muricata L.","En fresco"
"Colombia","Caldas","17380","La Dorada","Guayaba","Guayaba","Permanente","Frutales","Mirtáceas","2019","2019","4.00","4","40","10","2043000","Psidium guajava L.","En fresco"
"Colombia","Caldas","17380","La Dorada","Limón  Pajarito","Limón  Pajarito","Permanente","Frutales","Cítricos","2019","2019","27.00","23","276","12","2043602","Citrus limon L.","En fresco"
"Colombia","Caldas","17380","La Dorada","Mango demás variedades","Mango demás variedades","Permanente","Frutales","Demas frutales","2019","2019","6.00","6","48","8","2044299","Mangifera indica L","En fresco"
"Colombia","Caldas","17380","La Dorada","Naranja demás variedades","Naranja demás variedades","Permanente","Frutales","Cítricos","2019","2019","6.00","6","48","8","2044999","Citrus sinensis L. OSBECK","En fresco"
"Colombia","Caldas","17380","La Dorada","Papaya  demás variedades","Papaya  demás variedades","Permanente","Frutales","Demas frutales","2019","2019","15.00","5","150","30","2045399","Carica papaya","En fresco"
"Colombia","Caldas","17380","La Dorada","Plátano consumo interno","Plátano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","70.00","50","500","10","2045802","Musa paradisiaca L.","En fresco"
"Colombia","Caldas","17380","La Dorada","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019A","7.00","7","9.79","1.4","1010497","Zea mays","En fresco"
"Colombia","Caldas","17380","La Dorada","Ahuyama","Ahuyama","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019A","7.00","7","70","10","1050200","Cucurbita maxima","En fresco"
"Colombia","Caldas","17380","La Dorada","Patilla","Patilla","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019A","7.00","7","56","8","1052200","Citrullus lanatus","En fresco"
"Colombia","Caldas","17380","La Dorada","Yuca consumo en fresco","Yuca consumo en fresco","Transitorio","Raíces y Tubérculos","Raíces y Tubérculos","2019","2019A","10.00","10","100","10","1081001","Manihot esculenta","En fresco"
"Colombia","Caldas","17380","La Dorada","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019B","7.00","7","9.79","1.4","1010497","Zea mays","En fresco"
"Colombia","Caldas","17380","La Dorada","Ahuyama","Ahuyama","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019B","7.00","7","70","10","1050200","Cucurbita maxima","En fresco"
"Colombia","Caldas","17380","La Dorada","Patilla","Patilla","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019B","7.00","7","56","8","1052200","Citrullus lanatus","En fresco"
"Colombia","Caldas","17380","La Dorada","Yuca consumo en fresco","Yuca consumo en fresco","Transitorio","Raíces y Tubérculos","Raíces y Tubérculos","2019","2019B","10.00","10","100","10","1081001","Manihot esculenta","En fresco"
"Colombia","Caldas","17388","La Merced","Aguacate demás variedades","Aguacate demás variedades","Permanente","Frutales","Demas frutales","2019","2019","63.00","53","477","9","2040299","Persea americana","En fresco"
"Colombia","Caldas","17388","La Merced","Plátano consumo interno","Plátano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","205.00","186","1,488","8","2045802","Musa paradisiaca L.","En fresco"
"Colombia","Caldas","17388","La Merced","Otros cítricos","Otros cítricos","Permanente","Frutales","Cítricos","2019","2019","5.00","5","60","12","2049800","No aplica","En fresco"
"Colombia","Caldas","17388","La Merced","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019A","15.00","15","45","3","1010497","Zea mays","En fresco"
"Colombia","Caldas","17388","La Merced","Maíz Tecnificado","Maíz Tecnificado","Transitorio","Cereales","Cereales","2019","2019A","12.00","12","60","5","1010498","Zea mays","En fresco"
"Colombia","Caldas","17388","La Merced","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019B","16.00","16","56","3.5","1010497","Zea mays","En fresco"
"Colombia","Caldas","17388","La Merced","Maíz Tecnificado","Maíz Tecnificado","Transitorio","Cereales","Cereales","2019","2019B","10.00","10","55","5.5","1010498","Zea mays","En fresco"
"Colombia","Caldas","17388","La Merced","Yuca consumo en fresco","Yuca consumo en fresco","Transitorio","Raíces y Tubérculos","Raíces y Tubérculos","2019","2019B","4.00","4","28","7","1081001","Manihot esculenta","En fresco"
"Colombia","Caldas","17433","Manzanares","Aguacate demás variedades","Aguacate demás variedades","Permanente","Frutales","Demas frutales","2019","2019","819.00","399","4,788","12","2040299","Persea americana","En fresco"
"Colombia","Caldas","17433","Manzanares","Mora","Mora","Permanente","Frutales","Demas frutales","2019","2019","2.00","2","18","9","2044700","Morus ssp","En fresco"
"Colombia","Caldas","17433","Manzanares","Plátano consumo interno","Plátano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","381.00","261","4,176","16","2045802","Musa paradisiaca L.","En fresco"
"Colombia","Caldas","17433","Manzanares","Otros frutales","Otros frutales","Permanente","Frutales","Demas frutales","2019","2019","1.00","0","0","0","2049900","No aplica","En fresco"
"Colombia","Caldas","17433","Manzanares","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019A","8.00","8","28","3.5","1010497","Zea mays","En fresco"
"Colombia","Caldas","17433","Manzanares","Cebolla De Rama","Cebolla De Rama","Transitorio","Hortalizas","Hortalizas de Tallo","2019","2019A","0.25","0.25","0.25","1","1051200","Allium fistulosum","En fresco"
"Colombia","Caldas","17433","Manzanares","Cilantro","Cilantro","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019A","0.30","0.3","3.15","10.5","1051300","Coriandrum sativum","En fresco"
"Colombia","Caldas","17433","Manzanares","Repollo","Repollo","Transitorio","Hortalizas","Hortalizas de Hoja","2019","2019A","0.50","0.5","1","2","1052800","Brassica oleracea var. capitata","En fresco"
"Colombia","Caldas","17433","Manzanares","Tomate","Tomate","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019A","0.00","0","0","0","1052901","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17433","Manzanares","Tomate Invernadero","Tomate Invernadero","Transitorio","Hortalizas","Hortalizas de Futo","2019","2019A","2.50","2.5","237.5","95","1052902","Lycopersicon esculentum","En fresco"
"Colombia","Caldas","17433","Manzanares","Habichuela","Habichuela","Transitorio","Leguminosas","Leguminosas","2019","2019A","0.25","0.25","0.25","1","1060600","Phaseolus vulgaris","En fresco"
"Colombia","Caldas","17433","Manzanares","Maíz Tradicional","Maíz Tradicional","Transitorio","Cereales","Cereales","2019","2019B","8.00","8","28","3.5","1010497","Zea mays","En fresco"
